Date,Fee Percentage
2009-01-10,0
2009-01-11,0
2009-01-12,0
2009-01-13,0
2009-01-14,0
2009-01-15,0
2009-01-16,0
2009-01-17,0
2009-01-18,0
2009-01-19,0
2009-01-20,0
2009-01-21,0
2009-01-22,0
2009-01-23,0
2009-01-24,0
2009-01-25,0
2009-01-26,0
2009-01-27,0
2009-01-28,0
2009-01-29,0
2009-01-30,0
2009-01-31,0
2009-02-01,0
2009-02-02,0
2009-02-03,0
2009-02-04,0.272905
2009-02-05,0
2009-02-06,0
2009-02-07,0
2009-02-08,0
2009-02-09,0
2009-02-10,0
2009-02-11,0
2009-02-12,0
2009-02-13,0
2009-02-14,0
2009-02-15,0
2009-02-16,0
2009-02-17,0
2009-02-18,0
2009-02-19,0
2009-02-20,0
2009-02-21,0
2009-02-22,0
2009-02-23,0
2009-02-24,0
2009-02-25,0
2009-02-26,0
2009-02-27,0
2009-02-28,0
2009-03-01,0
2009-03-02,0
2009-03-03,0
2009-03-04,0
2009-03-05,0
2009-03-06,0
2009-03-07,0
2009-03-08,0
2009-03-09,0
2009-03-10,0
2009-03-11,0
2009-03-12,0
2009-03-13,0
2009-03-14,0
2009-03-15,0
2009-03-16,0
2009-03-17,0
2009-03-18,0
2009-03-19,0
2009-03-20,0
2009-03-21,0
2009-03-22,0
2009-03-23,0
2009-03-24,0
2009-03-25,0
2009-03-26,0
2009-03-27,0
2009-03-28,0
2009-03-29,0
2009-03-30,0
2009-03-31,0
2009-04-01,0
2009-04-02,0
2009-04-03,0
2009-04-04,0
2009-04-05,0
2009-04-06,0
2009-04-07,0
2009-04-08,0
2009-04-09,0
2009-04-10,0
2009-04-11,0
2009-04-12,0
2009-04-13,0
2009-04-14,0
2009-04-15,0
2009-04-16,0
2009-04-17,0
2009-04-18,0
2009-04-19,0
2009-04-20,0
2009-04-21,0
2009-04-22,0
2009-04-23,0
2009-04-24,0
2009-04-25,0
2009-04-26,0
2009-04-27,0
2009-04-28,0
2009-04-29,0
2009-04-30,0
2009-05-01,0
2009-05-02,0
2009-05-03,0.00400032
2009-05-04,0
2009-05-05,0
2009-05-06,0
2009-05-07,0
2009-05-08,0
2009-05-09,0
2009-05-10,0
2009-05-11,0
2009-05-12,0.1
2009-05-13,0
2009-05-14,0
2009-05-15,0
2009-05-16,0
2009-05-17,0
2009-05-18,0
2009-05-19,0
2009-05-20,0
2009-05-21,0
2009-05-22,0
2009-05-23,0
2009-05-24,0
2009-05-25,0
2009-05-26,0
2009-05-27,0
2009-05-28,0
2009-05-29,0
2009-05-30,0
2009-05-31,0
2009-06-01,0
2009-06-02,0
2009-06-03,0
2009-06-04,0
2009-06-05,0
2009-06-06,0
2009-06-07,0
2009-06-08,0
2009-06-09,0
2009-06-10,0
2009-06-11,0
2009-06-12,0
2009-06-13,0
2009-06-14,0
2009-06-15,0
2009-06-16,0
2009-06-17,0
2009-06-18,0
2009-06-19,0
2009-06-20,0
2009-06-21,0
2009-06-22,0
2009-06-23,0
2009-06-24,0
2009-06-25,0
2009-06-26,0
2009-06-27,0
2009-06-28,0
2009-06-29,0
2009-06-30,0
2009-07-01,0
2009-07-02,0
2009-07-03,0
2009-07-04,0
2009-07-05,0
2009-07-06,0
2009-07-07,0
2009-07-08,0
2009-07-09,0
2009-07-10,0
2009-07-11,0
2009-07-12,0
2009-07-13,0
2009-07-14,0
2009-07-15,0
2009-07-16,0
2009-07-17,0
2009-07-18,0
2009-07-19,0
2009-07-20,0
2009-07-21,0.00231418
2009-07-22,0
2009-07-23,0
2009-07-24,0
2009-07-25,0
2009-07-26,0
2009-07-27,0
2009-07-28,0
2009-07-29,0
2009-07-30,0
2009-07-31,0
2009-08-01,0
2009-08-02,0
2009-08-03,0
2009-08-04,0
2009-08-05,0
2009-08-06,0
2009-08-07,0
2009-08-08,0.00234254
2009-08-09,0
2009-08-10,0
2009-08-11,0
2009-08-12,0
2009-08-13,0
2009-08-14,0
2009-08-15,0
2009-08-16,0
2009-08-17,0
2009-08-18,0
2009-08-19,0
2009-08-20,0
2009-08-21,0
2009-08-22,0
2009-08-23,0
2009-08-24,0
2009-08-25,0
2009-08-26,0
2009-08-27,0
2009-08-28,0
2009-08-29,0
2009-08-30,0
2009-08-31,0
2009-09-01,0
2009-09-02,0
2009-09-03,0
2009-09-04,0
2009-09-05,0
2009-09-06,0
2009-09-07,0
2009-09-08,0
2009-09-09,0
2009-09-10,0
2009-09-11,0
2009-09-12,0
2009-09-13,0
2009-09-14,0
2009-09-15,0
2009-09-16,0
2009-09-17,0
2009-09-18,0.00237624
2009-09-19,0
2009-09-20,0
2009-09-21,0
2009-09-22,0
2009-09-23,0
2009-09-24,0
2009-09-25,0
2009-09-26,0
2009-09-27,0
2009-09-28,0
2009-09-29,0
2009-09-30,0
2009-10-01,0
2009-10-02,0
2009-10-03,0
2009-10-04,0
2009-10-05,0
2009-10-06,0
2009-10-07,0
2009-10-08,0
2009-10-09,0
2009-10-10,0
2009-10-11,0
2009-10-12,0
2009-10-13,0
2009-10-14,0
2009-10-15,0
2009-10-16,0
2009-10-17,0
2009-10-18,0
2009-10-19,0
2009-10-20,0
2009-10-21,0.00237629
2009-10-22,0
2009-10-23,0
2009-10-24,0
2009-10-25,0
2009-10-26,0
2009-10-27,0
2009-10-28,0
2009-10-29,0
2009-10-30,0
2009-10-31,0
2009-11-01,0
2009-11-02,0
2009-11-03,0
2009-11-04,0
2009-11-05,0
2009-11-06,0
2009-11-07,0
2009-11-08,0
2009-11-09,0
2009-11-10,0
2009-11-11,0
2009-11-12,0
2009-11-13,0
2009-11-14,0
2009-11-15,0
2009-11-16,0
2009-11-17,0
2009-11-18,0
2009-11-19,0
2009-11-20,0
2009-11-21,0
2009-11-22,0
2009-11-23,0
2009-11-24,0
2009-11-25,0
2009-11-26,0
2009-11-27,0
2009-11-28,0
2009-11-29,0
2009-11-30,0
2009-12-01,0
2009-12-02,0.00218905
2009-12-03,0
2009-12-04,0
2009-12-05,0
2009-12-06,0
2009-12-07,0
2009-12-08,0
2009-12-09,0
2009-12-10,0
2009-12-11,0
2009-12-12,0
2009-12-13,0
2009-12-14,0
2009-12-15,0
2009-12-16,0
2009-12-17,0
2009-12-18,0
2009-12-19,0
2009-12-20,0
2009-12-21,0
2009-12-22,0
2009-12-23,0
2009-12-24,0
2009-12-25,0
2009-12-26,0
2009-12-27,0
2009-12-28,0
2009-12-29,0
2009-12-30,0
2009-12-31,0
2010-01-01,0
2010-01-02,0
2010-01-03,0
2010-01-04,0
2010-01-05,0
2010-01-06,0
2010-01-07,0
2010-01-08,0
2010-01-09,0
2010-01-10,0
2010-01-11,0
2010-01-12,0
2010-01-13,0.00240743
2010-01-14,0
2010-01-15,0
2010-01-16,0
2010-01-17,0
2010-01-18,0
2010-01-19,0
2010-01-20,0
2010-01-21,0
2010-01-22,0
2010-01-23,0
2010-01-24,0
2010-01-25,0
2010-01-26,0
2010-01-27,0
2010-01-28,0
2010-01-29,0
2010-01-30,0
2010-01-31,0
2010-02-01,0
2010-02-02,0
2010-02-03,0
2010-02-04,0
2010-02-05,0
2010-02-06,0
2010-02-07,0
2010-02-08,0
2010-02-09,0
2010-02-10,0.00210526
2010-02-11,0
2010-02-12,0
2010-02-13,0
2010-02-14,0
2010-02-15,0
2010-02-16,0
2010-02-17,0
2010-02-18,0
2010-02-19,0
2010-02-20,0
2010-02-21,0
2010-02-22,0
2010-02-23,0
2010-02-24,0
2010-02-25,0
2010-02-26,0
2010-02-27,0
2010-02-28,0
2010-03-01,0
2010-03-02,0
2010-03-03,0
2010-03-04,0
2010-03-05,0
2010-03-06,0
2010-03-07,0
2010-03-08,0
2010-03-09,0
2010-03-10,0
2010-03-11,0
2010-03-12,0
2010-03-13,0
2010-03-14,0
2010-03-15,0
2010-03-16,0
2010-03-17,0
2010-03-18,0
2010-03-19,0
2010-03-20,0
2010-03-21,0
2010-03-22,0
2010-03-23,0
2010-03-24,0
2010-03-25,0
2010-03-26,0
2010-03-27,0
2010-03-28,0
2010-03-29,0
2010-03-30,0
2010-03-31,0
2010-04-01,0
2010-04-02,0
2010-04-03,0
2010-04-04,0
2010-04-05,0.00753623
2010-04-06,0
2010-04-07,0
2010-04-08,0
2010-04-09,0
2010-04-10,0
2010-04-11,0
2010-04-12,0
2010-04-13,0
2010-04-14,0
2010-04-15,0
2010-04-16,0
2010-04-17,0
2010-04-18,0
2010-04-19,0
2010-04-20,0
2010-04-21,0
2010-04-22,0
2010-04-23,0
2010-04-24,0
2010-04-25,0
2010-04-26,0
2010-04-27,0
2010-04-28,0
2010-04-29,0
2010-04-30,0
2010-05-01,0
2010-05-02,0
2010-05-03,0
2010-05-04,0
2010-05-05,0
2010-05-06,0
2010-05-07,0
2010-05-08,0
2010-05-09,0
2010-05-10,0
2010-05-11,0
2010-05-12,0
2010-05-13,0
2010-05-14,0
2010-05-15,0.0425736
2010-05-16,0.0831067
2010-05-17,0
2010-05-18,0
2010-05-19,0
2010-05-20,0
2010-05-21,0
2010-05-22,0
2010-05-23,0.00219622
2010-05-24,0
2010-05-25,0
2010-05-26,0
2010-05-27,0
2010-05-28,0
2010-05-29,0
2010-05-30,0
2010-05-31,0
2010-06-01,0
2010-06-02,0
2010-06-03,0
2010-06-04,0
2010-06-05,0
2010-06-06,0
2010-06-07,0
2010-06-08,0
2010-06-09,0
2010-06-10,0
2010-06-11,0
2010-06-12,0
2010-06-13,0
2010-06-14,0
2010-06-15,0
2010-06-16,0
2010-06-17,0
2010-06-18,0
2010-06-19,0
2010-06-20,0
2010-06-21,0
2010-06-22,0
2010-06-23,0
2010-06-24,0
2010-06-25,0
2010-06-26,0
2010-06-27,0
2010-06-28,0
2010-06-29,0
2010-06-30,0
2010-07-01,0.00255592
2010-07-02,0
2010-07-03,0
2010-07-04,0
2010-07-05,0
2010-07-06,0
2010-07-07,0
2010-07-08,0
2010-07-09,0
2010-07-10,0
2010-07-11,0
2010-07-12,0
2010-07-13,0
2010-07-14,0
2010-07-15,0.00000314201
2010-07-16,0.000766883
2010-07-17,0.000438313
2010-07-18,0.000306362
2010-07-19,0.0040671
2010-07-20,0.000112296
2010-07-21,0
2010-07-22,0
2010-07-23,0
2010-07-24,0.0000472635
2010-07-25,0
2010-07-26,0.00621406
2010-07-27,0.00172396
2010-07-28,0.00200131
2010-07-29,0.00159146
2010-07-30,0.00451309
2010-07-31,0.0015417
2010-08-01,0.00200753
2010-08-02,0.000107316
2010-08-03,0.000330593
2010-08-04,0
2010-08-05,0
2010-08-06,0
2010-08-07,0.0114043
2010-08-08,0
2010-08-09,0
2010-08-10,0.00558692
2010-08-11,0
2010-08-12,0
2010-08-13,0
2010-08-14,0
2010-08-15,0
2010-08-16,0
2010-08-17,0.000999957
2010-08-18,0
2010-08-19,0.00422717
2010-08-20,0
2010-08-21,0
2010-08-22,0
2010-08-23,0
2010-08-24,0
2010-08-25,0.00378001
2010-08-26,0
2010-08-27,0
2010-08-28,0
2010-08-29,6.63607e-9
2010-08-30,0.00261452
2010-08-31,0.00261762
2010-09-01,0.000543217
2010-09-02,0.00020772
2010-09-03,0
2010-09-04,0
2010-09-05,0
2010-09-06,0.00000749822
2010-09-07,1.32146e-10
2010-09-08,0
2010-09-09,1.14394e-9
2010-09-10,0.000320931
2010-09-11,7.07779e-10
2010-09-12,0
2010-09-13,0.000812478
2010-09-14,8.52428e-11
2010-09-15,0.0000315255
2010-09-16,0
2010-09-17,0
2010-09-18,0
2010-09-19,0.000412259
2010-09-20,0
2010-09-21,0
2010-09-22,3.58201e-10
2010-09-23,0
2010-09-24,0
2010-09-25,0
2010-09-26,0
2010-09-27,0
2010-09-28,0.0000576941
2010-09-29,0.00179103
2010-09-30,0
2010-10-01,0
2010-10-02,0.00187849
2010-10-03,0.0000019957
2010-10-04,0.0000154043
2010-10-05,1.76989e-10
2010-10-06,0
2010-10-07,9.01372e-10
2010-10-08,0
2010-10-09,0
2010-10-10,0
2010-10-11,0
2010-10-12,1.50248e-9
2010-10-13,0
2010-10-14,0.000299263
2010-10-15,0
2010-10-16,0
2010-10-17,0
2010-10-18,0
2010-10-19,0.00000919569
2010-10-20,0
2010-10-21,0
2010-10-22,0.00000414678
2010-10-23,0
2010-10-24,0.0001192
2010-10-25,0
2010-10-26,0
2010-10-27,0
2010-10-28,0
2010-10-29,0
2010-10-30,0
2010-10-31,0
2010-11-01,0
2010-11-02,0
2010-11-03,0
2010-11-04,0
2010-11-05,0
2010-11-06,0
2010-11-07,0
2010-11-08,0
2010-11-09,0.000166008
2010-11-10,0
2010-11-11,0
2010-11-12,0
2010-11-13,0
2010-11-14,0
2010-11-15,0
2010-11-16,0.000181912
2010-11-17,0
2010-11-18,0
2010-11-19,0
2010-11-20,0.000187404
2010-11-21,0.000662973
2010-11-22,0.000776373
2010-11-23,0.00159347
2010-11-24,0.00140939
2010-11-25,0.000317757
2010-11-26,0
2010-11-27,0.000418809
2010-11-28,0.0000850969
2010-11-29,0
2010-11-30,0.0000853821
2010-12-01,0.0000153445
2010-12-02,0.0000717792
2010-12-03,0.00010241
2010-12-04,0.0000353995
2010-12-05,0.0000166399
2010-12-06,0.000207011
2010-12-07,0.0000482877
2010-12-08,0.0000833823
2010-12-09,0.000134591
2010-12-10,0.0000743482
2010-12-11,0.000181599
2010-12-12,0.00019457
2010-12-13,0.000302971
2010-12-14,0.000162967
2010-12-15,0.0000466459
2010-12-16,0.0000602899
2010-12-17,0.00012266
2010-12-18,0.000376988
2010-12-19,0.0000771967
2010-12-20,0.000119089
2010-12-21,0.0000783915
2010-12-22,0.000149134
2010-12-23,0.000160803
2010-12-24,0.000100887
2010-12-25,0.000121427
2010-12-26,0.000062318
2010-12-27,0.000138498
2010-12-28,0.0000946589
2010-12-29,0.000157303
2010-12-30,0.000135274
2010-12-31,0.000125449
2011-01-01,0.0000406613
2011-01-02,0.000161694
2011-01-03,0.000179075
2011-01-04,0.00108494
2011-01-05,0.0000949661
2011-01-06,0.000170433
2011-01-07,0.000290759
2011-01-08,0.0000783719
2011-01-09,0.000030636
2011-01-10,0.000366976
2011-01-11,0.0000735539
2011-01-12,0.0000492562
2011-01-13,0.000472972
2011-01-14,0.0000201467
2011-01-15,0.0000805003
2011-01-16,0.000183016
2011-01-17,0.000133288
2011-01-18,0.000261945
2011-01-19,0.000055481
2011-01-20,0.0000842417
2011-01-21,0.000184712
2011-01-22,0.0000809029
2011-01-23,0.000706272
2011-01-24,0.000447331
2011-01-25,0.000320751
2011-01-26,0.000244876
2011-01-27,0.000104456
2011-01-28,0.0000310089
2011-01-29,0.000226845
2011-01-30,0.000602406
2011-01-31,0.000652534
2011-02-01,0.000510937
2011-02-02,0.0006019
2011-02-03,0.0000542307
2011-02-04,0.000265221
2011-02-05,0.000224794
2011-02-06,0.000217157
2011-02-07,0.000162951
2011-02-08,0.000203595
2011-02-09,0.000261757
2011-02-10,0.000049856
2011-02-11,0.000404044
2011-02-12,0.000194045
2011-02-13,0.000571079
2011-02-14,0.000242045
2011-02-15,0.00208629
2011-02-16,0.000274594
2011-02-17,0.00094486
2011-02-18,0.000140183
2011-02-19,0.000433392
2011-02-20,0.000277769
2011-02-21,0.000254037
2011-02-22,0.0000475973
2011-02-23,0.0000696058
2011-02-24,0.00011936
2011-02-25,0.0000626045
2011-02-26,0.000264025
2011-02-27,0.00031008
2011-02-28,0.00056886
2011-03-01,0.000493152
2011-03-02,0.0000319551
2011-03-03,0.000018803
2011-03-04,0.00233327
2011-03-05,0.0003102
2011-03-06,0.00192639
2011-03-07,0.00280807
2011-03-08,0.00291193
2011-03-09,0.00212318
2011-03-10,0.00130381
2011-03-11,0.000759779
2011-03-12,0.00334418
2011-03-13,0.000985554
2011-03-14,0.000783635
2011-03-15,0.00104433
2011-03-16,0.00138586
2011-03-17,0.00118617
2011-03-18,0.000851425
2011-03-19,0.000775387
2011-03-20,0.0010971
2011-03-21,0.00181075
2011-03-22,0.00530096
2011-03-23,0.00556756
2011-03-24,0.00717292
2011-03-25,0.0032455
2011-03-26,0.00177458
2011-03-27,0.00144159
2011-03-28,0.00431452
2011-03-29,0.00319478
2011-03-30,0.00316985
2011-03-31,0.00336078
2011-04-01,0.0028845
2011-04-02,0.00444725
2011-04-03,0.00293299
2011-04-04,0.00524821
2011-04-05,0.00381422
2011-04-06,0.00463038
2011-04-07,0.00569529
2011-04-08,0.00273842
2011-04-09,0.00318764
2011-04-10,0.00307639
2011-04-11,0.00625909
2011-04-12,0.00459022
2011-04-13,0.00340572
2011-04-14,0.00250369
2011-04-15,0.00930205
2011-04-16,0.00200088
2011-04-17,0.00116617
2011-04-18,0.000165544
2011-04-19,0.00275507
2011-04-20,0.000208347
2011-04-21,0.000148497
2011-04-22,0.000778804
2011-04-23,0.00336621
2011-04-24,0.0041419
2011-04-25,0.00481332
2011-04-26,0.00946408
2011-04-27,0.00268675
2011-04-28,0.00381967
2011-04-29,0.00447316
2011-04-30,0.000997759
2011-05-01,0.00251457
2011-05-02,0.00689026
2011-05-03,0.00415504
2011-05-04,0.00249067
2011-05-05,0.00229838
2011-05-06,0.00605331
2011-05-07,0.00267898
2011-05-08,0.00298427
2011-05-09,0.00147462
2011-05-10,0.00685619
2011-05-11,0.00143178
2011-05-12,0.00460819
2011-05-13,0.00351205
2011-05-14,0.00256601
2011-05-15,0.000801819
2011-05-16,0.00449534
2011-05-17,0.00614075
2011-05-18,0.0064121
2011-05-19,0.0108166
2011-05-20,0.00874319
2011-05-21,0.00496154
2011-05-22,0.00326287
2011-05-23,0.00213492
2011-05-24,0.00390883
2011-05-25,0.00590804
2011-05-26,0.00562255
2011-05-27,0.00499799
2011-05-28,0.00258473
2011-05-29,0.00619336
2011-05-30,0.0054761
2011-05-31,0.00675583
2011-06-01,0.00724903
2011-06-02,0.00874138
2011-06-03,0.00660203
2011-06-04,0.00430109
2011-06-05,0.0067646
2011-06-06,0.00425618
2011-06-07,0.00354165
2011-06-08,0.00567063
2011-06-09,0.00574411
2011-06-10,0.00539084
2011-06-11,0.00415284
2011-06-12,0.00238323
2011-06-13,0.00248709
2011-06-14,0.0028101
2011-06-15,0.00234558
2011-06-16,0.000890217
2011-06-17,0.000378675
2011-06-18,0.00199238
2011-06-19,0.00220273
2011-06-20,0.000555577
2011-06-21,0.00152987
2011-06-22,0.000540774
2011-06-23,0.00135051
2011-06-24,0.000898997
2011-06-25,0.000347579
2011-06-26,0.000217859
2011-06-27,0.000650917
2011-06-28,0.00129839
2011-06-29,0.000272607
2011-06-30,0.000881026
2011-07-01,0.00116084
2011-07-02,0.00169924
2011-07-03,0.00166025
2011-07-04,0.00254921
2011-07-05,0.00120525
2011-07-06,0.00461947
2011-07-07,0.00301141
2011-07-08,0.00296258
2011-07-09,0.00437287
2011-07-10,0.000616521
2011-07-11,0.00054158
2011-07-12,0.00141541
2011-07-13,0.00117956
2011-07-14,0.00106755
2011-07-15,0.000695071
2011-07-16,0.00276722
2011-07-17,0.000868552
2011-07-18,0.00212942
2011-07-19,0.000392545
2011-07-20,0.000542124
2011-07-21,0.00192792
2011-07-22,0.000666412
2011-07-23,0.000890975
2011-07-24,0.00115159
2011-07-25,0.00233643
2011-07-26,0.000745612
2011-07-27,0.000650095
2011-07-28,0.0007125
2011-07-29,0.000218563
2011-07-30,0.00111856
2011-07-31,0.00183286
2011-08-01,0.00114947
2011-08-02,0.00144645
2011-08-03,0.00186998
2011-08-04,0.00187777
2011-08-05,0.00267302
2011-08-06,0.00128334
2011-08-07,0.00626978
2011-08-08,0.00194575
2011-08-09,0.000642053
2011-08-10,0.000508071
2011-08-11,0.000952973
2011-08-12,0.00145455
2011-08-13,0.00183081
2011-08-14,0.00180994
2011-08-15,0.00272604
2011-08-16,0.00277054
2011-08-17,0.00300065
2011-08-18,0.0021029
2011-08-19,0.00149893
2011-08-20,0.00140098
2011-08-21,0.00244728
2011-08-22,0.00226248
2011-08-23,0.00274843
2011-08-24,0.00158958
2011-08-25,0.00156656
2011-08-26,0.00160175
2011-08-27,0.00168046
2011-08-28,0.000189853
2011-08-29,0.0024346
2011-08-30,0.00220279
2011-08-31,0.00429786
2011-09-01,0.00220586
2011-09-02,0.00170918
2011-09-03,0.00267551
2011-09-04,0.00169725
2011-09-05,0.000573274
2011-09-06,0.000303307
2011-09-07,0.000207499
2011-09-08,0.00150637
2011-09-09,0.00119107
2011-09-10,0.00194926
2011-09-11,0.00198566
2011-09-12,0.000510633
2011-09-13,0.000845481
2011-09-14,0.00117281
2011-09-15,0.00130847
2011-09-16,0.0024741
2011-09-17,0.00072596
2011-09-18,0.00157796
2011-09-19,0.00184214
2011-09-20,0.0018066
2011-09-21,0.00190151
2011-09-22,0.00131964
2011-09-23,0.00128596
2011-09-24,0.00120504
2011-09-25,0.00305251
2011-09-26,0.00112959
2011-09-27,0.00105311
2011-09-28,0.00109571
2011-09-29,0.00124114
2011-09-30,0.00105266
2011-10-01,0.00132501
2011-10-02,0.000857838
2011-10-03,0.00098587
2011-10-04,0.00223874
2011-10-05,0.000900379
2011-10-06,0.000980783
2011-10-07,0.00157201
2011-10-08,0.00107274
2011-10-09,0.00117313
2011-10-10,0.000942664
2011-10-11,0.00113561
2011-10-12,0.0016727
2011-10-13,0.00150793
2011-10-14,0.00130534
2011-10-15,0.000937818
2011-10-16,0.00115813
2011-10-17,0.00126449
2011-10-18,0.000906942
2011-10-19,0.000874381
2011-10-20,0.00102683
2011-10-21,0.00193014
2011-10-22,0.000496346
2011-10-23,0.000482327
2011-10-24,0.000576053
2011-10-25,0.00099073
2011-10-26,0.000741129
2011-10-27,0.000620724
2011-10-28,0.000528433
2011-10-29,0.000826634
2011-10-30,0.000824488
2011-10-31,0.00162188
2011-11-01,0.00073035
2011-11-02,0.00103741
2011-11-03,0.000746106
2011-11-04,0.000896487
2011-11-05,0.000793658
2011-11-06,0.00135647
2011-11-07,0.000999428
2011-11-08,0.0013159
2011-11-09,0.000353563
2011-11-10,0.000354327
2011-11-11,0.000941795
2011-11-12,0.000716576
2011-11-13,0.000998992
2011-11-14,0.00113785
2011-11-15,0.000801996
2011-11-16,0.000827279
2011-11-17,0.000175993
2011-11-18,0.000080342
2011-11-19,0.0000706132
2011-11-20,0.0000766806
2011-11-21,0.00026616
2011-11-22,0.00011822
2011-11-23,0.0000955245
2011-11-24,0.00022767
2011-11-25,0.000251862
2011-11-26,0.000425385
2011-11-27,0.000170956
2011-11-28,0.000141743
2011-11-29,0.0000767698
2011-11-30,0.000127369
2011-12-01,0.0000423684
2011-12-02,0.00026672
2011-12-03,0.0000771815
2011-12-04,0.000132892
2011-12-05,0.000114865
2011-12-06,0.00010636
2011-12-07,0.0000560957
2011-12-08,0.0000692917
2011-12-09,0.0000607392
2011-12-10,0.000188353
